ID,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous
A074,45,services,married,professional.course,no,yes,no,telephone,may,mon,221,1,999,0
A075,40,management,married,university.degree,no,no,no,cellular,jul,mon,77,2,999,0
A076,45,services,married,professional.course,no,no,no,telephone,aug,thu,64,18,999,0
A077,43,technician,divorced,university.degree,unknown,no,no,telephone,may,mon,62,2,999,0
A078,54,blue-collar,married,professional.course,unknown,yes,yes,telephone,may,mon,198,3,999,0
A079,53,technician,divorced,professional.course,no,no,no,telephone,may,tue,249,1,999,0
A080,35,self-employed,single,university.degree,no,yes,no,cellular,jul,thu,106,1,999,0
A081,30,technician,single,professional.course,no,yes,no,cellular,aug,fri,445,1,999,0
A082,25,technician,married,professional.course,no,yes,no,telephone,jun,wed,149,2,999,0
A083,35,services,divorced,professional.course,no,no,yes,cellular,aug,thu,66,1,999,0
A084,54,admin.,married,university.degree,no,yes,no,cellular,mar,mon,415,1,999,0
A085,30,blue-collar,married,basic.6y,no,no,no,cellular,jul,mon,173,2,999,0
A086,38,admin.,married,university.degree,unknown,yes,no,cellular,aug,tue,173,1,999,0
A087,35,admin.,married,university.degree,no,yes,no,cellular,oct,thu,86,1,999,1
A088,47,blue-collar,married,professional.course,unknown,yes,no,telephone,may,wed,131,1,999,0
A089,32,blue-collar,single,high.school,no,yes,no,cellular,jul,tue,523,3,999,0
A090,27,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,383,1,999,0
A091,40,blue-collar,married,basic.9y,no,unknown,unknown,telephone,nov,thu,160,1,999,0
A092,31,admin.,married,high.school,no,no,no,telephone,may,mon,220,3,999,0
A093,42,blue-collar,divorced,basic.9y,no,no,no,cellular,apr,mon,20,2,999,0
A094,40,blue-collar,married,basic.6y,no,yes,no,cellular,may,thu,160,4,999,0
A095,31,admin.,single,high.school,no,yes,no,cellular,nov,wed,79,1,999,0
A096,57,technician,married,basic.4y,unknown,no,no,telephone,jun,thu,243,2,999,0
A097,38,admin.,single,high.school,no,yes,no,cellular,apr,thu,882,1,6,1
A098,39,services,married,high.school,unknown,no,no,telephone,may,mon,5,2,999,0
A099,37,admin.,divorced,high.school,unknown,yes,yes,telephone,may,wed,354,5,999,0
A100,50,unemployed,married,professional.course,unknown,yes,yes,cellular,jul,thu,225,1,999,0
A101,33,blue-collar,single,basic.4y,no,yes,yes,cellular,apr,thu,460,1,999,0
A102,41,blue-collar,married,basic.6y,no,unknown,unknown,telephone,jun,tue,202,1,999,0
A103,37,entrepreneur,married,basic.6y,unknown,unknown,unknown,telephone,may,fri,71,1,999,0
A104,25,student,single,high.school,no,no,no,cellular,apr,wed,54,1,999,0
A105,35,admin.,married,high.school,unknown,no,no,cellular,jul,fri,451,1,999,0
A106,46,management,married,university.degree,no,no,no,cellular,jul,mon,662,2,999,0
A107,29,admin.,divorced,university.degree,no,no,no,telephone,jun,mon,187,3,999,0
A108,35,admin.,married,university.degree,no,yes,no,cellular,aug,thu,82,4,999,0
A109,48,entrepreneur,single,professional.course,no,yes,no,cellular,may,wed,606,3,999,0
A110,31,self-employed,single,university.degree,no,no,no,cellular,oct,fri,76,1,999,0
A111,33,blue-collar,divorced,basic.9y,no,no,yes,telephone,may,thu,18,6,999,1
A112,63,retired,divorced,university.degree,no,no,yes,cellular,jul,thu,317,1,999,1
A113,38,admin.,married,high.school,no,yes,no,cellular,nov,tue,67,2,999,0
A114,34,admin.,divorced,high.school,no,no,no,cellular,nov,tue,492,2,6,3
A115,34,services,divorced,high.school,no,no,no,telephone,jul,thu,212,4,999,0
A116,47,management,married,university.degree,no,yes,no,telephone,may,wed,267,2,3,3
A117,27,blue-collar,single,basic.9y,no,yes,no,telephone,may,wed,185,1,999,0
A118,24,admin.,single,university.degree,no,no,no,cellular,aug,fri,744,1,999,2
A119,36,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,499,3,999,0
A120,29,services,single,high.school,unknown,no,no,telephone,jun,mon,123,2,999,0
A121,58,retired,married,basic.9y,no,yes,no,telephone,jun,mon,198,1,999,0
A122,40,technician,married,professional.course,no,no,no,cellular,aug,tue,156,1,999,0
A123,31,admin.,single,university.degree,no,yes,no,cellular,aug,thu,98,8,999,0
A124,60,retired,married,basic.4y,unknown,no,no,cellular,aug,tue,332,3,999,0
A125,58,housemaid,married,basic.4y,unknown,yes,no,telephone,jul,tue,35,1,999,0
A126,32,blue-collar,single,basic.9y,no,yes,no,cellular,jul,tue,124,2,999,0
A127,54,admin.,divorced,university.degree,no,no,no,telephone,jun,tue,213,4,999,0
A128,43,technician,married,professional.course,unknown,yes,no,cellular,aug,mon,145,2,999,0
A129,48,retired,married,basic.4y,unknown,no,no,telephone,jun,wed,145,8,999,0
A130,33,admin.,married,university.degree,no,yes,no,cellular,nov,thu,195,1,999,0
A131,37,blue-collar,married,basic.9y,unknown,no,no,telephone,jul,mon,179,2,999,0
A132,35,services,divorced,professional.course,unknown,no,no,telephone,may,wed,184,2,999,0
A133,34,services,married,high.school,no,no,no,telephone,may,thu,285,1,999,0
A134,30,technician,single,university.degree,no,yes,no,cellular,aug,thu,31,17,999,0
A135,38,admin.,married,basic.9y,unknown,yes,no,telephone,jun,mon,306,1,999,0
A136,29,technician,divorced,professional.course,unknown,yes,no,cellular,may,fri,14,5,999,1
A137,49,entrepreneur,married,university.degree,no,yes,no,cellular,apr,mon,334,1,999,0
A138,48,management,divorced,university.degree,no,no,no,cellular,aug,fri,117,1,999,0
A139,33,management,married,high.school,no,yes,no,cellular,jul,wed,155,2,999,0
A140,33,admin.,single,university.degree,no,yes,yes,telephone,apr,wed,117,1,999,0
A141,42,management,married,university.degree,no,no,no,telephone,may,fri,206,1,999,0
A142,39,admin.,married,university.degree,no,no,no,telephone,jun,tue,102,1,999,0
A143,55,entrepreneur,married,university.degree,unknown,yes,yes,cellular,nov,tue,157,2,999,0
A144,46,management,married,university.degree,unknown,yes,no,telephone,may,thu,311,3,999,0
A145,55,blue-collar,divorced,basic.4y,unknown,no,yes,telephone,jun,tue,115,3,999,0
A146,42,entrepreneur,married,university.degree,no,yes,no,cellular,nov,fri,58,1,999,1
A147,24,student,single,high.school,unknown,yes,no,cellular,may,wed,290,1,999,1
A148,49,blue-collar,married,basic.9y,unknown,yes,no,cellular,aug,thu,114,1,999,0
A149,38,admin.,married,unknown,no,no,yes,cellular,jul,wed,311,3,999,0
A150,34,admin.,married,university.degree,unknown,no,no,cellular,aug,tue,146,1,999,0
A151,46,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,fri,111,1,999,0
A152,45,technician,married,professional.course,unknown,yes,no,cellular,aug,thu,360,5,999,0
A153,40,admin.,married,basic.9y,no,yes,no,cellular,jul,thu,106,4,999,0
A154,46,admin.,divorced,basic.9y,unknown,no,no,telephone,may,wed,423,1,999,0
A155,31,blue-collar,single,basic.9y,no,no,no,telephone,jun,wed,350,7,999,0
A156,57,self-employed,married,basic.9y,unknown,yes,yes,telephone,may,tue,122,1,999,0
A157,36,admin.,married,university.degree,no,no,no,cellular,may,mon,91,3,999,0
A158,50,technician,married,professional.course,no,unknown,unknown,cellular,nov,tue,319,2,999,1
A159,32,admin.,single,high.school,no,yes,yes,cellular,apr,wed,120,1,999,0
A160,38,admin.,single,university.degree,no,yes,no,cellular,jul,mon,82,2,999,0
A161,50,admin.,married,university.degree,no,unknown,unknown,cellular,may,wed,801,1,999,1
A162,42,blue-collar,married,basic.4y,no,yes,no,telephone,jun,thu,168,2,999,0
A163,31,technician,married,professional.course,no,yes,no,cellular,aug,wed,409,2,999,0
A164,27,unemployed,single,university.degree,no,yes,no,cellular,jul,tue,120,1,999,0
A165,44,self-employed,divorced,high.school,no,yes,no,telephone,jun,mon,123,1,999,0
A166,26,housemaid,single,high.school,unknown,yes,yes,telephone,jul,thu,127,1,999,0
A167,30,blue-collar,single,high.school,unknown,yes,no,cellular,may,thu,340,1,999,0
A168,39,self-employed,single,high.school,no,yes,no,cellular,nov,fri,169,1,999,0
A169,64,retired,married,unknown,no,no,no,cellular,aug,fri,252,4,999,0
A170,36,management,married,university.degree,no,unknown,unknown,cellular,sep,wed,331,1,6,4
A171,42,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,wed,191,4,999,0
A172,42,services,single,high.school,no,no,no,cellular,may,thu,122,2,999,0
A173,40,admin.,divorced,high.school,no,no,no,cellular,jul,wed,1776,3,999,0
A174,34,services,married,high.school,no,no,yes,cellular,may,wed,362,2,999,1
A175,31,blue-collar,married,basic.6y,no,yes,yes,telephone,may,thu,237,2,999,0
A176,49,admin.,single,university.degree,no,no,no,telephone,may,fri,201,3,999,0
A177,35,unemployed,divorced,basic.9y,no,no,no,cellular,jul,thu,169,7,999,0
A178,60,admin.,married,unknown,unknown,no,yes,telephone,may,mon,213,2,999,0
A179,38,admin.,divorced,basic.9y,no,no,no,cellular,nov,fri,271,1,999,0
A180,32,management,married,professional.course,no,no,no,cellular,may,thu,125,1,999,1
A181,50,self-employed,married,basic.9y,no,yes,yes,cellular,may,mon,673,6,3,1
A182,41,admin.,married,university.degree,no,yes,no,cellular,apr,fri,961,6,999,0
A183,45,admin.,married,high.school,no,no,no,telephone,may,wed,215,2,999,0
A184,46,blue-collar,married,basic.6y,no,no,yes,telephone,jun,tue,179,2,999,0
A185,55,unknown,married,basic.4y,unknown,yes,no,telephone,may,mon,336,1,999,0
A186,33,technician,divorced,professional.course,no,yes,no,telephone,may,fri,44,1,999,0
A187,45,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,223,1,999,0
A188,29,blue-collar,married,high.school,no,yes,no,cellular,may,wed,66,1,999,0
A189,42,technician,married,high.school,unknown,no,no,cellular,jul,wed,252,2,999,0
A190,39,housemaid,married,university.degree,no,yes,no,telephone,may,mon,167,2,999,0
A191,58,blue-collar,married,unknown,unknown,yes,no,cellular,jul,thu,180,4,999,0
A192,32,management,divorced,university.degree,no,yes,no,cellular,jul,tue,123,4,999,0
A193,44,technician,divorced,professional.course,unknown,yes,no,cellular,apr,thu,18,3,999,1
A194,49,self-employed,married,professional.course,no,no,no,telephone,may,fri,374,2,999,0
A195,29,blue-collar,married,basic.6y,no,yes,no,cellular,may,thu,108,4,999,0
A196,51,management,married,university.degree,no,no,no,telephone,jun,wed,16,17,999,0
A197,36,admin.,married,university.degree,no,yes,no,cellular,aug,thu,45,8,999,0
A198,23,management,single,university.degree,no,yes,no,cellular,apr,mon,122,1,999,0
A199,31,management,single,university.degree,no,yes,no,cellular,aug,mon,72,1,999,0
A200,32,technician,married,unknown,no,yes,no,cellular,jul,fri,107,2,999,0
A201,58,self-employed,divorced,professional.course,no,no,no,telephone,jun,thu,197,1,999,0
A202,31,services,single,high.school,no,yes,no,cellular,jul,wed,21,20,999,0
A203,32,blue-collar,married,professional.course,no,yes,no,cellular,may,fri,160,2,999,0
A204,43,unemployed,married,high.school,no,no,no,cellular,aug,thu,319,4,3,2
A205,48,admin.,divorced,professional.course,no,yes,no,telephone,may,fri,427,3,999,0
A206,28,admin.,single,high.school,no,yes,no,cellular,jul,thu,270,2,999,0
A207,52,services,unknown,professional.course,no,yes,no,telephone,jun,fri,7,2,999,0
A208,36,management,married,university.degree,no,no,no,telephone,jun,thu,22,1,999,0
A209,39,admin.,divorced,high.school,no,yes,yes,cellular,apr,thu,433,2,999,0
A210,39,blue-collar,married,unknown,unknown,yes,no,telephone,jul,tue,49,5,999,0
A211,50,management,married,university.degree,no,yes,no,telephone,oct,thu,258,1,999,1
A212,29,admin.,single,university.degree,no,yes,no,cellular,nov,fri,190,1,999,0
A213,49,technician,divorced,professional.course,no,yes,no,cellular,may,tue,130,3,999,0
A214,36,blue-collar,married,basic.6y,no,no,no,cellular,nov,wed,130,1,999,0
A215,29,blue-collar,married,basic.9y,unknown,yes,no,cellular,may,thu,182,6,999,0
A216,27,entrepreneur,single,university.degree,no,no,no,telephone,jun,tue,259,3,999,0
A217,31,blue-collar,married,basic.9y,no,yes,no,cellular,jul,wed,124,1,999,0
A218,43,management,single,high.school,no,no,no,cellular,nov,fri,40,1,999,0
A219,32,blue-collar,married,unknown,no,no,no,cellular,nov,thu,366,4,999,0
A220,45,blue-collar,married,high.school,unknown,yes,no,cellular,aug,wed,399,2,999,0
A221,56,blue-collar,married,basic.4y,no,no,no,telephone,jun,wed,133,2,999,0
A222,38,admin.,married,high.school,no,unknown,unknown,telephone,may,wed,23,16,999,0
A223,35,blue-collar,married,basic.9y,unknown,no,no,telephone,may,thu,170,1,999,0
A224,30,admin.,single,university.degree,no,yes,no,cellular,aug,fri,83,1,999,2
A225,46,management,married,university.degree,unknown,no,no,cellular,apr,fri,79,1,999,0
A226,43,blue-collar,married,basic.9y,no,yes,no,cellular,may,thu,93,4,999,2
A227,38,technician,married,university.degree,unknown,no,no,telephone,may,thu,257,2,999,0
A228,52,retired,married,university.degree,no,yes,no,telephone,nov,thu,188,2,999,0
A229,30,technician,unknown,university.degree,no,no,no,cellular,oct,fri,131,2,16,1
A230,31,unemployed,married,high.school,yes,no,no,cellular,nov,tue,111,2,999,1
A231,31,blue-collar,single,basic.4y,unknown,yes,no,cellular,may,fri,73,1,999,0
A232,24,technician,single,professional.course,no,no,no,cellular,may,thu,175,1,999,1
A233,34,admin.,single,university.degree,no,yes,no,cellular,jul,tue,439,2,999,0
A234,48,admin.,married,unknown,no,no,no,cellular,aug,thu,262,1,999,0
A235,30,admin.,married,university.degree,no,yes,no,cellular,aug,thu,136,1,999,0
A236,23,blue-collar,single,high.school,unknown,yes,no,cellular,jul,mon,150,4,999,0
A237,20,entrepreneur,single,high.school,no,no,no,telephone,may,thu,598,3,999,0
A238,43,admin.,divorced,high.school,no,no,no,cellular,jul,mon,96,3,999,0
A239,26,services,single,high.school,no,no,no,cellular,may,mon,298,2,999,2
A240,58,unemployed,single,basic.4y,unknown,no,no,telephone,jun,mon,170,6,999,0
A241,26,admin.,single,university.degree,no,yes,no,cellular,may,tue,104,5,999,0
A242,35,admin.,married,high.school,unknown,yes,no,telephone,may,fri,213,14,999,0
A243,35,admin.,married,high.school,unknown,no,no,cellular,jul,mon,356,3,999,0
A244,59,admin.,divorced,professional.course,no,no,no,cellular,aug,tue,206,1,999,1
A245,54,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,102,1,999,0
A246,37,blue-collar,divorced,basic.9y,no,yes,no,cellular,jul,thu,346,2,999,0
A247,46,technician,divorced,professional.course,no,no,no,telephone,jun,wed,53,2,999,0
A248,52,services,married,high.school,unknown,no,no,cellular,jul,mon,81,6,999,0
A249,52,management,married,university.degree,no,yes,no,cellular,nov,tue,67,1,999,0
A250,32,student,single,university.degree,no,no,no,cellular,may,fri,209,1,999,0
A251,33,services,married,basic.4y,no,no,no,telephone,may,tue,202,4,999,0
A252,33,technician,divorced,high.school,no,yes,no,cellular,may,tue,247,1,999,0
A253,42,technician,single,unknown,no,no,no,telephone,may,mon,230,2,999,0
A254,38,blue-collar,divorced,unknown,no,yes,no,telephone,may,thu,451,2,999,0
A255,43,blue-collar,married,high.school,unknown,yes,no,telephone,may,tue,190,1,999,0
A256,49,admin.,divorced,university.degree,no,no,no,telephone,may,fri,24,1,999,0
A257,30,blue-collar,married,basic.9y,no,unknown,unknown,telephone,may,wed,107,3,999,0
A258,37,technician,married,professional.course,no,no,no,cellular,apr,fri,54,2,999,0
A259,47,blue-collar,married,professional.course,no,no,no,cellular,jul,mon,86,2,999,0
A260,32,blue-collar,married,basic.4y,no,yes,no,telephone,nov,thu,111,8,999,0
A261,32,unemployed,married,university.degree,no,yes,no,cellular,jul,fri,47,2,999,0
A262,35,services,divorced,university.degree,no,yes,no,cellular,may,mon,215,1,999,0
A263,36,management,divorced,university.degree,no,unknown,unknown,cellular,may,fri,423,1,999,0
A264,41,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,233,2,999,0
A265,48,blue-collar,married,basic.9y,no,yes,no,telephone,aug,fri,67,2,999,0
A266,43,technician,married,high.school,no,no,no,cellular,jul,wed,1389,7,999,0
A267,57,technician,married,university.degree,no,no,no,telephone,may,fri,50,2,999,0
A268,28,entrepreneur,married,university.degree,unknown,no,no,cellular,apr,mon,774,2,999,0
A269,30,services,single,high.school,unknown,no,no,telephone,jul,thu,454,18,999,0
A270,27,student,single,high.school,no,no,no,cellular,may,mon,64,2,999,1
A271,44,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,tue,212,1,999,0
A272,43,services,married,basic.9y,no,no,no,telephone,jun,thu,110,17,999,0
A273,28,technician,married,basic.9y,no,yes,no,cellular,may,wed,23,1,999,1
A274,34,blue-collar,married,basic.9y,no,no,no,cellular,may,tue,169,1,999,0
A275,32,services,married,high.school,no,yes,no,telephone,jul,thu,251,2,999,0
A276,30,admin.,single,university.degree,no,yes,no,cellular,aug,fri,353,10,999,0
A277,45,admin.,divorced,university.degree,no,no,no,cellular,jul,fri,508,1,999,0
A278,49,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,wed,410,1,999,0
A279,45,blue-collar,married,high.school,no,yes,no,telephone,may,thu,89,5,999,0
A280,56,technician,married,basic.9y,no,yes,no,telephone,may,wed,52,2,999,0
A281,48,admin.,single,university.degree,no,yes,no,cellular,aug,wed,118,1,0,2
A282,42,unemployed,married,high.school,no,yes,no,cellular,nov,tue,154,2,999,0
A283,51,management,married,university.degree,no,yes,yes,telephone,jun,mon,409,2,999,0
A284,54,blue-collar,married,basic.9y,no,no,no,cellular,jun,fri,258,2,999,0
A285,40,admin.,married,university.degree,no,yes,no,cellular,aug,wed,335,2,999,0
A286,47,blue-collar,single,basic.9y,no,yes,no,telephone,may,thu,54,1,999,0
A287,29,technician,single,university.degree,no,no,no,cellular,aug,wed,896,6,999,0
A288,37,admin.,married,university.degree,no,yes,yes,cellular,jun,mon,412,2,999,0
A289,35,technician,married,basic.9y,no,no,no,telephone,may,wed,24,1,999,0
A290,54,technician,married,professional.course,no,yes,no,cellular,nov,tue,149,2,999,0
A291,45,unknown,married,university.degree,no,yes,no,cellular,may,thu,254,1,999,1
A292,35,admin.,single,university.degree,no,yes,no,cellular,jul,fri,564,2,999,0
A293,37,blue-collar,married,professional.course,no,yes,no,cellular,may,mon,185,1,999,1
A294,38,management,married,basic.9y,no,yes,no,telephone,may,tue,1000,1,999,0
A295,33,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,88,2,999,0
A296,31,blue-collar,divorced,basic.9y,no,yes,no,telephone,jun,thu,166,2,999,0
A297,34,admin.,married,university.degree,unknown,no,no,telephone,may,thu,134,1,999,0
A298,51,blue-collar,divorced,high.school,no,no,no,cellular,may,tue,131,2,999,0
A299,38,blue-collar,married,high.school,unknown,yes,no,cellular,may,wed,118,1,999,1
A300,25,admin.,single,basic.9y,no,no,no,cellular,jul,thu,81,3,999,0
A301,35,technician,single,professional.course,no,yes,no,cellular,aug,wed,75,6,999,0
A302,55,self-employed,married,university.degree,no,yes,no,cellular,may,mon,123,2,999,0
A303,37,admin.,married,high.school,unknown,yes,no,telephone,may,mon,313,1,999,0
A304,31,technician,married,high.school,no,no,no,cellular,aug,thu,124,3,999,0
A305,36,services,married,high.school,no,unknown,unknown,telephone,may,thu,262,4,999,0
A306,59,retired,married,basic.4y,unknown,yes,yes,telephone,may,wed,571,1,999,0
A307,37,blue-collar,married,basic.6y,no,no,no,telephone,oct,fri,131,1,999,0
A308,74,retired,divorced,high.school,no,yes,yes,telephone,dec,mon,88,6,999,0
A309,44,technician,divorced,basic.9y,unknown,yes,yes,telephone,may,tue,388,2,999,0
A310,29,technician,single,professional.course,no,no,no,cellular,aug,mon,157,3,999,0
A311,32,services,married,basic.4y,no,yes,yes,cellular,nov,mon,111,1,999,0
A312,45,services,divorced,basic.9y,no,yes,no,cellular,apr,mon,325,1,999,0
A313,49,blue-collar,married,unknown,unknown,no,no,telephone,jun,wed,112,4,999,0
A314,25,services,single,unknown,no,no,no,telephone,jul,fri,662,4,999,0
A315,34,blue-collar,divorced,basic.4y,unknown,yes,no,cellular,jul,mon,246,2,999,0
A316,37,technician,single,professional.course,no,yes,no,cellular,aug,thu,115,1,999,0
A317,48,technician,single,university.degree,unknown,yes,no,cellular,aug,tue,159,2,999,0
A318,52,services,married,high.school,no,yes,no,telephone,aug,mon,575,2,999,0
A319,30,technician,single,professional.course,no,no,no,cellular,aug,tue,216,3,999,0
A320,57,retired,married,basic.9y,no,yes,no,cellular,aug,mon,342,4,999,0
A321,38,blue-collar,married,basic.4y,no,yes,no,cellular,nov,mon,117,2,999,0
A322,31,blue-collar,single,high.school,no,no,no,cellular,nov,wed,145,1,999,0
A323,40,technician,married,basic.9y,unknown,yes,no,telephone,jun,tue,168,2,999,0
A324,38,services,married,high.school,no,yes,yes,telephone,may,mon,506,1,999,0
A325,33,management,single,university.degree,no,no,no,telephone,may,fri,261,1,999,0
A326,28,admin.,single,university.degree,no,yes,no,cellular,sep,mon,387,2,6,3
A327,33,technician,married,professional.course,no,yes,no,cellular,aug,mon,417,2,999,0
A328,58,retired,married,basic.4y,no,no,no,cellular,jul,tue,81,1,999,0
A329,30,self-employed,married,professional.course,no,yes,no,cellular,may,tue,98,5,999,0
A330,42,self-employed,married,professional.course,unknown,no,no,cellular,may,fri,160,1,999,1
A331,35,technician,divorced,basic.4y,no,no,no,cellular,nov,tue,363,1,999,0
A332,41,housemaid,married,high.school,no,yes,no,cellular,jul,fri,440,4,999,0
A333,31,self-employed,single,university.degree,no,no,no,cellular,nov,fri,906,1,999,1
A334,40,admin.,married,high.school,no,no,no,telephone,may,tue,167,1,999,0
A335,80,retired,married,basic.4y,no,no,no,cellular,oct,tue,242,1,999,2
